client_id,district_id,age,gender,district_of_residence,district_inhabitant_count,district_cities_count,district_urban_inhabitant_ratio,district_average_salary,district_mun_inhabitant_count_499,district_mun_inhabitant_count_1999,district_mun_inhabitant_count_9999,district_mun_inhabitant_count_infinite,district_enterprenuer_per_1000,district_crimes_count,district_unemployment_rate,owns_account,account_id,tenure,f_statement_issuance,branch_location_id,branch_location,orders_count,insurance_payment,household_payment,lease_payment,loan_payment,disp_id,has_credit_card,transaction_count,withdraw_transactions,credit_transactions,credit_card_withdrawals,credit_in_cash,collections_from_other_banks,cash_withdrawals,remittance_to_other_banks,has_had_loan,max_loan_amount,max_loan_duration,loan_pay_success,loan_pay_failure,in_loan_debt,year_of_last_transaction,year_of_last_credit
1,18,29,F,Pisek,70699,4,65.3,8968,60,13,2,1,131,3650,3.09,True,1,4,monthly,18,Pisek,1,False,True,False,False,1,False,239,137,102,0,12,45,97,40,False,0,0,False,False,False,98,98
2,1,54,M,Hl.m. Praha,1204953,1,100.0,12541,0,0,0,1,167,184784,0.36,True,2,6,monthly,1,Hl.m. Praha,2,False,True,False,True,2,False,478,326,152,0,12,70,237,89,True,80952,24,True,False,False,98,98
3,1,59,F,Hl.m. Praha,1204953,1,100.0,12541,0,0,0,1,167,184784,0.36,False,2,6,monthly,1,Hl.m. Praha,2,False,True,False,True,3,False,478,326,152,0,12,70,237,89,True,80952,24,True,False,False,98,98
4,5,43,M,Kolin,95616,6,51.4,9307,65,30,4,1,118,5656,4.14,True,3,2,monthly,5,Kolin,3,True,True,False,False,4,False,117,71,46,0,28,0,32,39,False,0,0,False,False,False,98,98
5,5,39,F,Kolin,95616,6,51.4,9307,65,30,4,1,118,5656,4.14,False,3,2,monthly,5,Kolin,3,True,True,False,False,5,False,117,71,46,0,28,0,32,39,False,0,0,False,False,False,98,98
6,12,80,M,Pribram,107870,6,58.0,8754,84,29,6,1,137,7672,4.07,True,4,3,monthly,12,Pribram,2,False,True,False,False,6,False,186,121,65,0,1,34,62,59,False,0,0,False,False,False,98,98
7,15,70,M,Cesky Krumlov,58796,5,51.9,9045,22,16,7,1,124,3724,3.365,True,5,2,monthly,15,Cesky Krumlov,1,False,True,False,False,7,False,84,49,35,0,1,19,35,14,False,0,0,False,False,False,98,98
8,51,61,F,Trutnov,121947,11,70.5,8541,37,28,7,3,131,7335,2.74,True,6,5,monthly,51,Trutnov,1,False,True,False,False,8,False,246,147,99,0,1,51,100,47,False,0,0,False,False,False,98,98
9,60,64,M,Prostejov,110643,4,51.9,8441,49,41,4,1,115,4131,3.9650000000000003,True,7,3,monthly,60,Prostejov,1,False,True,False,False,9,True,130,79,51,1,26,0,58,20,False,0,0,False,False,False,98,98
10,57,56,M,Hodonin,161954,8,48.0,8720,21,37,20,3,116,7380,4.115,True,8,4,monthly,57,Hodonin,2,False,True,False,False,10,False,254,170,84,0,45,0,101,69,False,0,0,False,False,False,98,98
11,57,49,F,Hodonin,161954,8,48.0,8720,21,37,20,3,116,7380,4.115,False,8,4,monthly,57,Hodonin,2,False,True,False,False,11,False,254,170,84,0,45,0,101,69,False,0,0,False,False,False,98,98
12,40,18,M,Teplice,128118,8,85.3,9317,9,16,6,3,97,13821,6.78,True,9,6,monthly,70,Karvina,0,False,False,False,False,12,False,361,178,183,0,112,0,178,0,False,0,0,False,False,False,98,98
13,54,25,F,Brno - mesto,387570,1,100.0,9897,0,0,0,1,140,37417,1.78,True,10,3,monthly,54,Brno - mesto,2,False,True,True,False,13,False,156,97,59,0,31,0,74,23,False,0,0,False,False,False,98,98
14,76,57,F,Sumperk,127369,7,51.2,8369,31,32,13,2,107,6543,5.305,True,11,4,monthly,76,Sumperk,1,False,True,False,False,14,False,186,107,79,0,1,39,72,35,False,0,0,False,False,False,98,98
15,21,81,F,Tabor,103347,7,67.0,9104,87,16,7,1,123,4653,1.79,True,12,2,monthly,21,Tabor,2,False,True,False,False,15,False,106,67,39,0,1,20,37,30,False,0,0,False,False,False,98,98
16,21,80,M,Tabor,103347,7,67.0,9104,87,16,7,1,123,4653,1.79,False,12,2,monthly,21,Tabor,2,False,True,False,False,16,False,106,67,39,0,1,20,37,30,False,0,0,False,False,False,98,98
17,76,65,M,Sumperk,127369,7,51.2,8369,31,32,13,2,107,6543,5.305,True,13,2,monthly,76,Sumperk,1,False,True,False,False,17,False,75,44,31,0,1,16,33,11,False,0,0,False,False,False,98,98
18,76,68,F,Sumperk,127369,7,51.2,8369,31,32,13,2,107,6543,5.305,False,13,2,monthly,76,Sumperk,1,False,True,False,False,18,False,75,44,31,0,1,16,33,11,False,0,0,False,False,False,98,98
19,47,57,M,Pardubice,162580,6,72.8,9538,83,26,5,1,111,11489,1.6600000000000001,True,14,3,monthly,47,Pardubice,1,False,True,False,False,19,True,124,72,52,6,27,0,46,20,False,0,0,False,False,False,98,98
20,46,20,M,Nachod,112709,10,73.5,8369,48,20,7,3,117,5472,2.05,True,15,6,monthly,70,Karvina,1,False,True,False,False,20,False,365,236,129,0,66,0,177,59,False,0,0,False,False,False,98,98
21,12,47,F,Pribram,107870,6,58.0,8754,84,29,6,1,137,7672,4.07,True,16,2,monthly,12,Pribram,0,False,False,False,False,21,False,60,28,32,0,17,0,28,0,False,0,0,False,False,False,98,98
22,1,30,F,Hl.m. Praha,1204953,1,100.0,12541,0,0,0,1,167,184784,0.36,True,17,2,monthly,1,Hl.m. Praha,1,False,True,False,False,22,False,54,21,33,0,16,0,19,2,False,0,0,False,False,False,98,98
23,1,26,M,Hl.m. Praha,1204953,1,100.0,12541,0,0,0,1,167,184784,0.36,False,17,2,monthly,1,Hl.m. Praha,1,False,True,False,False,23,False,54,21,33,0,16,0,19,2,False,0,0,False,False,False,98,98
24,43,60,F,Hradec Kralove,161854,6,76.3,9425,73,21,6,1,125,7976,2.11,True,18,6,weekly,43,Hradec Kralove,0,False,False,False,False,24,False,328,172,156,0,96,0,172,0,False,0,0,False,False,False,98,98
25,21,60,F,Tabor,103347,7,67.0,9104,87,16,7,1,123,4653,1.79,True,19,4,monthly,21,Tabor,1,False,False,False,True,25,False,303,151,152,0,17,45,143,8,True,30276,12,False,True,False,98,98
26,74,30,F,Ostrava - mesto,323870,1,100.0,10673,0,0,0,1,100,37129,5.095000000000001,True,20,3,monthly,74,Ostrava - mesto,1,False,True,False,False,26,False,116,63,53,0,1,28,39,24,False,0,0,False,False,False,98,98
27,54,33,F,Brno - mesto,387570,1,100.0,9897,0,0,0,1,140,37417,1.78,True,21,2,monthly,54,Brno - mesto,1,False,True,False,False,27,False,62,28,34,0,21,0,19,9,False,0,0,False,False,False,98,98
28,1,54,M,Hl.m. Praha,1204953,1,100.0,12541,0,0,0,1,167,184784,0.36,True,22,5,monthly,1,Hl.m. Praha,1,False,True,False,False,28,False,310,192,118,0,61,0,140,52,False,0,0,False,False,False,98,98
29,30,48,F,Sokolov,94812,10,81.8,9650,15,13,8,2,100,5789,3.525,True,23,6,monthly,30,Sokolov,1,False,True,False,False,29,False,370,233,137,0,70,0,171,62,False,0,0,False,False,False,98,98
30,74,42,F,Ostrava - mesto,323870,1,100.0,10673,0,0,0,1,100,37129,5.095000000000001,True,24,3,monthly,74,Ostrava - mesto,2,False,True,False,False,30,False,140,88,52,0,27,0,46,42,False,0,0,False,False,False,98,98
31,68,37,M,Frydek - Mistek,228848,6,57.2,9893,15,40,18,2,96,11510,4.404999999999999,True,25,3,monthly,68,Frydek - Mistek,4,True,True,False,True,31,False,274,192,82,0,54,0,99,93,True,30276,12,True,False,False,98,98
32,52,19,M,Usti nad Orlici,139012,10,61.9,8363,59,41,8,3,108,5363,3.005,True,26,6,monthly,52,Usti nad Orlici,1,False,True,False,False,32,False,351,218,133,0,3,65,158,60,False,0,0,False,False,False,98,98
33,73,51,F,Opava,182027,7,56.4,8746,17,49,12,2,90,8788,3.535,True,27,6,monthly,73,Opava,1,False,True,False,False,33,False,352,217,135,0,72,0,159,58,False,0,0,False,False,False,98,98
36,7,21,F,Melnik,94725,6,63.4,9920,38,28,1,3,130,9135,2.565,True,29,5,monthly,7,Melnik,3,True,True,False,False,36,False,367,267,100,0,51,0,133,134,False,0,0,False,False,False,98,98
37,7,29,M,Melnik,94725,6,63.4,9920,38,28,1,3,130,9135,2.565,False,29,5,monthly,7,Melnik,3,True,True,False,False,37,False,367,267,100,0,51,0,133,134,False,0,0,False,False,False,98,98
38,36,26,F,Liberec,159617,9,85.2,9198,29,19,8,1,131,11928,3.805,True,30,4,monthly,36,Liberec,1,False,False,True,False,38,False,281,151,130,0,86,0,151,0,False,0,0,False,False,False,98,98
39,68,31,M,Frydek - Mistek,228848,6,57.2,9893,15,40,18,2,96,11510,4.404999999999999,True,31,5,monthly,68,Frydek - Mistek,1,False,True,False,False,39,False,383,219,164,0,109,0,166,53,False,0,0,False,False,False,98,98
40,5,42,F,Kolin,95616,6,51.4,9307,65,30,4,1,118,5656,4.14,True,32,4,monthly,5,Kolin,0,False,False,False,False,40,False,180,98,82,0,42,0,98,0,False,0,0,False,False,False,98,98
41,22,31,M,Domazlice,58400,6,52.4,8620,65,16,4,1,100,2206,1.175,True,33,6,monthly,22,Domazlice,1,False,True,False,False,41,True,344,213,131,22,67,0,132,59,False,0,0,False,False,False,98,98
42,68,64,M,Frydek - Mistek,228848,6,57.2,9893,15,40,18,2,96,11510,4.404999999999999,True,34,6,weekly,67,Bruntal,3,False,True,True,False,42,True,409,282,127,1,1,63,164,117,False,0,0,False,False,False,98,98
43,75,79,M,Prerov,138032,5,64.6,8819,67,30,4,2,99,8568,5.52,True,35,6,monthly,75,Prerov,2,False,True,False,False,43,False,379,252,127,0,1,65,130,122,False,0,0,False,False,False,98,98
44,38,22,F,Louny,85852,4,59.8,8965,41,23,4,2,104,5475,7.655,True,36,6,monthly,1,Hl.m. Praha,1,False,True,False,False,44,False,388,254,134,0,68,0,192,62,False,0,0,False,False,False,98,98
45,20,47,M,Strakonice,70646,4,58.4,8547,94,14,3,1,120,3105,3.145,True,37,2,monthly,20,Strakonice,4,True,True,False,True,45,False,130,94,36,0,19,0,51,43,True,318480,60,False,False,True,98,98
46,19,59,F,Prachatice,51428,4,52.7,8402,50,11,3,1,120,2098,3.5549999999999997,True,38,2,weekly,19,Prachatice,4,True,True,False,True,46,False,130,82,48,0,14,17,37,45,True,110736,48,False,False,False,98,98
47,76,65,M,Sumperk,127369,7,51.2,8369,31,32,13,2,107,6543,5.305,True,39,6,monthly,36,Liberec,2,False,True,False,False,47,False,399,275,124,0,1,63,157,118,False,0,0,False,False,False,98,98
48,16,59,M,Jindrichuv Hradec,93931,8,56.9,8427,74,21,10,1,107,3787,1.33,True,40,6,monthly,64,Zlin,2,False,True,False,False,48,False,366,233,133,0,71,0,117,116,False,0,0,False,False,False,98,98
49,72,40,F,Olomouc,226122,4,62.6,8994,32,50,7,4,110,18880,4.295,True,41,2,monthly,72,Olomouc,0,False,False,False,False,49,False,71,35,36,0,19,0,35,0,False,0,0,False,False,False,98,98
50,39,21,F,Most,119895,4,89.9,10446,17,4,3,2,90,9690,8.370000000000001,True,42,3,monthly,39,Most,3,True,True,False,False,50,False,198,135,63,0,35,0,65,70,False,0,0,False,False,False,98,98
51,36,20,F,Liberec,159617,9,85.2,9198,29,19,8,1,131,11928,3.805,True,43,5,monthly,36,Liberec,1,False,True,False,False,51,True,321,209,112,35,57,0,124,50,False,0,0,False,False,False,98,98
52,32,75,M,Ceska Lipa,105058,10,81.0,9272,32,19,7,2,118,8845,3.01,True,44,6,monthly,32,Ceska Lipa,1,False,True,False,False,52,False,316,185,131,0,1,67,122,63,False,0,0,False,False,False,98,98
53,64,22,M,Zlin,197099,10,74.7,9624,29,41,10,2,145,8749,1.955,True,45,2,monthly,64,Zlin,0,False,False,False,False,53,False,69,28,41,0,25,0,28,0,False,0,0,False,False,False,98,98
55,45,51,F,Jicin,77917,5,53.5,8390,85,19,6,1,132,4202,2.585,True,47,6,monthly,45,Jicin,4,True,True,False,False,55,False,565,432,133,0,3,65,190,242,False,0,0,False,False,False,98,98
56,21,39,M,Tabor,103347,7,67.0,9104,87,16,7,1,123,4653,1.79,True,48,3,monthly,21,Tabor,2,False,True,False,False,56,True,151,99,52,2,27,0,57,40,False,0,0,False,False,False,98,98
57,21,38,F,Tabor,103347,7,67.0,9104,87,16,7,1,123,4653,1.79,False,48,3,monthly,21,Tabor,2,False,True,False,False,57,False,151,99,52,2,27,0,57,40,False,0,0,False,False,False,98,98
58,1,72,F,Hl.m. Praha,1204953,1,100.0,12541,0,0,0,1,167,184784,0.36,True,49,2,monthly,1,Hl.m. Praha,1,False,True,False,False,58,False,93,50,43,0,1,21,34,16,False,0,0,False,False,False,98,98
59,1,42,M,Hl.m. Praha,1204953,1,100.0,12541,0,0,0,1,167,184784,0.36,True,50,5,monthly,1,Hl.m. Praha,2,False,True,False,False,59,False,377,260,117,0,61,0,158,102,False,0,0,False,False,False,98,98
60,67,19,M,Bruntal,106054,6,63.1,8110,38,25,6,2,109,6323,6.16,True,51,3,monthly,67,Bruntal,2,False,True,False,False,60,True,192,129,63,4,32,0,72,53,False,0,0,False,False,False,98,98
61,16,51,F,Jindrichuv Hradec,93931,8,56.9,8427,74,21,10,1,107,3787,1.33,True,52,2,monthly,16,Jindrichuv Hradec,2,False,True,False,False,61,False,144,96,48,0,2,23,58,38,False,0,0,False,False,False,98,98
62,77,67,M,Vsetin,148545,4,53.5,8909,8,35,12,3,113,7050,4.785,True,53,4,monthly,77,Vsetin,1,False,True,False,False,62,False,197,110,87,0,1,43,71,39,False,0,0,False,False,False,98,98
63,4,40,M,Kladno,149893,6,67.4,9753,63,29,6,2,109,11136,4.845,True,54,4,monthly,4,Kladno,1,False,True,False,False,63,False,210,121,89,0,1,44,81,40,False,0,0,False,False,False,98,98
64,20,73,M,Strakonice,70646,4,58.4,8547,94,14,3,1,120,3105,3.145,True,55,3,monthly,20,Strakonice,1,False,True,False,False,64,False,150,85,65,0,1,34,56,29,False,0,0,False,False,False,98,98
65,50,56,F,Svitavy,102609,6,52.0,8187,75,33,2,3,94,4257,5.140000000000001,True,56,5,monthly,50,Svitavy,1,False,True,False,False,65,False,293,175,118,0,63,0,124,51,False,0,0,False,False,False,98,98
66,1,48,F,Hl.m. Praha,1204953,1,100.0,12541,0,0,0,1,167,184784,0.36,True,57,4,monthly,1,Hl.m. Praha,1,False,True,False,False,66,False,255,168,87,0,44,0,129,39,False,0,0,False,False,False,98,98
67,29,67,F,Rokycany,45714,6,55.6,8843,52,10,5,1,113,1706,3.21,True,58,3,monthly,29,Rokycany,0,False,False,False,False,67,False,137,83,54,0,1,28,83,0,False,0,0,False,False,False,98,98
68,43,53,M,Hradec Kralove,161854,6,76.3,9425,73,21,6,1,125,7976,2.11,True,59,5,monthly,43,Hradec Kralove,2,False,True,False,False,68,False,385,262,123,0,66,0,156,106,False,0,0,False,False,False,98,98
70,70,74,M,Karvina,285387,7,89.9,10177,0,2,8,5,81,19986,7.1899999999999995,True,61,6,monthly,70,Karvina,2,False,True,False,False,70,False,339,222,117,0,1,60,111,111,False,0,0,False,False,False,98,98
71,70,72,F,Karvina,285387,7,89.9,10177,0,2,8,5,81,19986,7.1899999999999995,False,61,6,monthly,70,Karvina,2,False,True,False,False,71,False,339,222,117,0,1,60,111,111,False,0,0,False,False,False,98,98
72,47,76,M,Pardubice,162580,6,72.8,9538,83,26,5,1,111,11489,1.6600000000000001,True,62,6,monthly,47,Pardubice,1,False,True,False,False,72,False,356,221,135,0,1,69,156,65,False,0,0,False,False,False,98,98
73,22,75,M,Domazlice,58400,6,52.4,8620,65,16,4,1,100,2206,1.175,True,63,3,monthly,22,Domazlice,2,False,True,False,False,73,False,129,82,47,0,1,25,41,41,False,0,0,False,False,False,98,98
74,22,74,F,Domazlice,58400,6,52.4,8620,65,16,4,1,100,2206,1.175,False,63,3,monthly,22,Domazlice,2,False,True,False,False,74,False,129,82,47,0,1,25,41,41,False,0,0,False,False,False,98,98
75,64,22,F,Zlin,197099,10,74.7,9624,29,41,10,2,145,8749,1.955,True,64,2,monthly,64,Zlin,0,False,False,False,False,75,False,44,14,30,0,11,0,14,0,False,0,0,False,False,False,98,98
76,36,32,F,Liberec,159617,9,85.2,9198,29,19,8,1,131,11928,3.805,True,65,3,monthly,36,Liberec,3,True,True,False,False,76,True,181,128,53,12,27,0,50,66,False,0,0,False,False,False,98,98
77,1,43,F,Hl.m. Praha,1204953,1,100.0,12541,0,0,0,1,167,184784,0.36,True,66,6,after transaction,48,Rychnov nad Kneznou,1,False,False,True,False,77,True,316,193,123,5,1,61,188,0,False,0,0,False,False,False,98,98
78,16,55,F,Jindrichuv Hradec,93931,8,56.9,8427,74,21,10,1,107,3787,1.33,True,67,5,monthly,16,Jindrichuv Hradec,3,False,True,False,True,78,False,382,280,102,0,2,50,164,116,True,165960,24,True,False,False,98,98
79,37,30,F,Litomerice,114006,9,62.3,9065,71,26,6,2,123,8313,4.925,True,68,5,after transaction,37,Litomerice,4,True,True,False,False,79,True,424,326,98,13,2,48,140,173,False,0,0,False,False,False,98,98
80,64,20,F,Zlin,197099,10,74.7,9624,29,41,10,2,145,8749,1.955,True,69,3,monthly,64,Zlin,0,False,False,False,False,80,False,196,73,123,0,87,0,73,0,False,0,0,False,False,False,98,98
81,8,23,M,Mlada Boleslav,112065,8,69.4,11277,95,19,7,1,127,10166,1.345,True,70,4,monthly,8,Mlada Boleslav,1,False,True,False,False,81,False,245,144,101,0,55,0,102,42,False,0,0,False,False,False,98,98
82,8,20,F,Mlada Boleslav,112065,8,69.4,11277,95,19,7,1,127,10166,1.345,False,70,4,monthly,8,Mlada Boleslav,1,False,True,False,False,82,False,245,144,101,0,55,0,102,42,False,0,0,False,False,False,98,98
83,1,21,F,Hl.m. Praha,1204953,1,100.0,12541,0,0,0,1,167,184784,0.36,True,71,5,monthly,1,Hl.m. Praha,4,True,True,False,False,83,True,496,378,118,22,60,0,143,213,False,0,0,False,False,False,98,98
84,1,20,M,Hl.m. Praha,1204953,1,100.0,12541,0,0,0,1,167,184784,0.36,False,71,5,monthly,1,Hl.m. Praha,4,True,True,False,False,84,False,496,378,118,22,60,0,143,213,False,0,0,False,False,False,98,98
85,1,38,M,Hl.m. Praha,1204953,1,100.0,12541,0,0,0,1,167,184784,0.36,True,72,3,weekly,1,Hl.m. Praha,3,False,True,True,False,85,False,242,150,92,0,61,0,92,58,False,0,0,False,False,False,98,98
86,1,30,F,Hl.m. Praha,1204953,1,100.0,12541,0,0,0,1,167,184784,0.36,False,72,3,weekly,1,Hl.m. Praha,3,False,True,True,False,86,False,242,150,92,0,61,0,92,58,False,0,0,False,False,False,98,98
87,72,53,F,Olomouc,226122,4,62.6,8994,32,50,7,4,110,18880,4.295,True,73,6,monthly,72,Olomouc,1,False,True,False,False,87,True,366,238,128,47,66,0,133,58,False,0,0,False,False,False,98,98
89,1,48,F,Hl.m. Praha,1204953,1,100.0,12541,0,0,0,1,167,184784,0.36,True,75,4,monthly,1,Hl.m. Praha,1,False,True,False,False,89,False,215,133,82,0,42,0,97,36,False,0,0,False,False,False,98,98
90,52,24,M,Usti nad Orlici,139012,10,61.9,8363,59,41,8,3,108,5363,3.005,True,76,3,monthly,52,Usti nad Orlici,1,False,True,False,False,90,False,163,90,73,0,42,0,63,27,False,0,0,False,False,False,98,98
91,63,59,M,Vyskov,86513,5,50.5,8288,38,36,5,1,110,3022,4.154999999999999,True,77,3,monthly,63,Vyskov,1,False,False,True,False,91,False,104,52,52,0,2,25,52,0,False,0,0,False,False,False,98,98
92,74,33,F,Ostrava - mesto,323870,1,100.0,10673,0,0,0,1,100,37129,5.095000000000001,True,78,6,monthly,74,Ostrava - mesto,1,False,True,False,False,92,False,388,251,137,0,71,0,190,61,False,0,0,False,False,False,98,98
93,3,74,M,Beroun,75232,5,41.7,8980,55,26,4,1,111,5637,2.08,True,79,3,monthly,3,Beroun,1,False,True,False,False,93,False,104,57,47,0,1,25,36,21,False,0,0,False,False,False,98,98
94,43,52,M,Hradec Kralove,161854,6,76.3,9425,73,21,6,1,125,7976,2.11,True,80,4,monthly,43,Hradec Kralove,1,False,True,False,False,94,False,176,101,75,0,1,39,67,34,False,0,0,False,False,False,98,98
95,43,47,F,Hradec Kralove,161854,6,76.3,9425,73,21,6,1,125,7976,2.11,False,80,4,monthly,43,Hradec Kralove,1,False,True,False,False,95,False,176,101,75,0,1,39,67,34,False,0,0,False,False,False,98,98
96,74,27,M,Ostrava - mesto,323870,1,100.0,10673,0,0,0,1,100,37129,5.095000000000001,True,81,3,monthly,74,Ostrava - mesto,3,True,True,False,False,96,False,217,143,74,0,16,29,70,73,False,0,0,False,False,False,98,98
97,26,34,M,Plzen - mesto,170449,1,100.0,10787,0,0,0,1,131,12302,2.865,True,82,5,monthly,26,Plzen - mesto,0,False,False,False,False,97,False,332,188,144,0,88,0,188,0,False,0,0,False,False,False,98,98
98,33,26,F,Decin,133777,11,84.7,8705,24,17,7,3,116,9509,6.68,True,83,6,monthly,26,Plzen - mesto,2,False,True,False,False,98,False,431,284,147,0,79,0,156,128,False,0,0,False,False,False,98,98
99,33,26,M,Decin,133777,11,84.7,8705,24,17,7,3,116,9509,6.68,False,83,6,monthly,26,Plzen - mesto,2,False,True,False,False,99,False,431,284,147,0,79,0,156,128,False,0,0,False,False,False,98,98
100,44,57,F,Chrudim,105606,7,53.0,8254,77,26,7,2,97,4491,3.275,True,84,4,after transaction,44,Chrudim,2,False,True,True,False,100,False,211,118,93,0,57,0,85,33,False,0,0,False,False,False,98,98
101,68,56,M,Frydek - Mistek,228848,6,57.2,9893,15,40,18,2,96,11510,4.404999999999999,True,85,2,monthly,68,Frydek - Mistek,2,False,True,True,False,101,False,108,54,54,0,33,0,37,17,False,0,0,False,False,False,98,98
102,74,41,F,Ostrava - mesto,323870,1,100.0,10673,0,0,0,1,100,37129,5.095000000000001,True,86,6,monthly,54,Brno - mesto,2,False,True,False,False,102,False,410,269,141,0,1,70,138,131,False,0,0,False,False,False,98,98
103,74,44,M,Ostrava - mesto,323870,1,100.0,10673,0,0,0,1,100,37129,5.095000000000001,False,86,6,monthly,54,Brno - mesto,2,False,True,False,False,103,False,410,269,141,0,1,70,138,131,False,0,0,False,False,False,98,98
105,31,19,M,Tachov,51313,4,59.2,8930,34,12,3,1,108,2780,3.8600000000000003,True,88,3,monthly,31,Tachov,1,False,True,False,False,105,False,140,79,61,0,1,30,53,26,False,0,0,False,False,False,98,98
106,68,31,F,Frydek - Mistek,228848,6,57.2,9893,15,40,18,2,96,11510,4.404999999999999,True,89,2,monthly,68,Frydek - Mistek,0,False,False,False,False,106,False,61,28,33,0,18,0,28,0,False,0,0,False,False,False,98,98
107,1,27,M,Hl.m. Praha,1204953,1,100.0,12541,0,0,0,1,167,184784,0.36,True,90,5,monthly,1,Hl.m. Praha,4,True,True,False,False,107,False,457,347,110,0,56,0,151,196,False,0,0,False,False,False,98,98
108,17,36,M,Pelhrimov,74062,7,61.4,8114,99,15,4,2,119,2184,2.5,True,91,3,monthly,17,Pelhrimov,0,False,False,False,False,108,False,79,37,42,0,18,0,37,0,False,0,0,False,False,False,98,98
110,2,32,F,Benesov,88884,5,46.7,8507,80,26,6,2,132,4833,1.76,True,93,3,monthly,2,Benesov,0,False,False,False,False,110,False,143,77,66,0,36,0,77,0,False,0,0,False,False,False,98,98
112,1,64,M,Hl.m. Praha,1204953,1,100.0,12541,0,0,0,1,167,184784,0.36,True,95,4,monthly,1,Hl.m. Praha,0,False,False,False,False,112,True,217,125,92,23,47,0,102,0,False,0,0,False,False,False,98,98
113,1,59,F,Hl.m. Praha,1204953,1,100.0,12541,0,0,0,1,167,184784,0.36,False,95,4,monthly,1,Hl.m. Praha,0,False,False,False,False,113,False,217,125,92,23,47,0,102,0,False,0,0,False,False,False,98,98
114,74,30,F,Ostrava - mesto,323870,1,100.0,10673,0,0,0,1,100,37129,5.095000000000001,True,96,6,monthly,68,Frydek - Mistek,5,True,True,True,False,114,True,661,515,146,17,6,70,235,263,False,0,0,False,False,False,98,98
115,74,30,M,Ostrava - mesto,323870,1,100.0,10673,0,0,0,1,100,37129,5.095000000000001,False,96,6,monthly,68,Frydek - Mistek,5,True,True,True,False,115,False,661,515,146,17,6,70,235,263,False,0,0,False,False,False,98,98
116,74,57,M,Ostrava - mesto,323870,1,100.0,10673,0,0,0,1,100,37129,5.095000000000001,True,97,3,monthly,74,Ostrava - mesto,5,True,True,False,True,116,True,274,207,67,5,35,0,81,121,True,102876,12,True,False,False,98,98
117,74,63,F,Ostrava - mesto,323870,1,100.0,10673,0,0,0,1,100,37129,5.095000000000001,False,97,3,monthly,74,Ostrava - mesto,5,True,True,False,True,117,False,274,207,67,5,35,0,81,121,True,102876,12,True,False,False,98,98
118,55,77,M,Brno - venkov,157042,9,33.9,8743,49,70,18,0,111,7553,2.1550000000000002,True,98,2,monthly,55,Brno - venkov,2,False,True,False,False,118,False,106,65,41,0,1,20,34,31,False,0,0,False,False,False,98,98
119,55,77,F,Brno - venkov,157042,9,33.9,8743,49,70,18,0,111,7553,2.1550000000000002,False,98,2,monthly,55,Brno - venkov,2,False,True,False,False,119,False,106,65,41,0,1,20,34,31,False,0,0,False,False,False,98,98
120,1,23,M,Hl.m. Praha,1204953,1,100.0,12541,0,0,0,1,167,184784,0.36,True,99,4,monthly,1,Hl.m. Praha,2,False,True,False,False,120,False,248,155,93,0,52,0,91,64,False,0,0,False,False,False,98,98
121,41,21,F,Usti nad Labem,118650,3,85.6,9832,8,8,5,1,114,11916,3.9000000000000004,True,100,6,monthly,41,Usti nad Labem,2,False,True,False,False,121,False,405,260,145,0,85,0,148,112,False,0,0,False,False,False,98,98
122,35,36,F,Jablonec n. Nisou,88768,7,80.5,8867,10,18,5,1,130,7004,1.115,True,101,3,monthly,35,Jablonec n. Nisou,2,False,True,False,False,122,False,208,137,71,0,39,0,82,55,False,0,0,False,False,False,98,98
123,11,30,M,Praha - zapad,75637,7,36.5,9622,35,36,9,0,154,7004,0.52,True,102,6,monthly,11,Praha - zapad,3,False,True,False,True,123,False,319,201,118,0,60,0,129,72,False,0,0,False,False,False,98,98
124,44,32,M,Chrudim,105606,7,53.0,8254,77,26,7,2,97,4491,3.275,True,103,3,monthly,44,Chrudim,1,False,False,False,True,124,False,185,101,84,0,38,0,90,11,True,265320,36,False,False,True,98,98
