client_id,State,district_id,age,gender,district_of_residence,district_inhabitant_count,district_cities_count,district_urban_inhabitant_ratio,district_average_salary,district_mun_inhabitant_count_499,district_mun_inhabitant_count_1999,district_mun_inhabitant_count_9999,district_mun_inhabitant_count_infinite,district_enterprenuer_per_1000,district_crimes_count,district_unemployment_rate,owns_account,account_id,tenure,f_statement_issuance,branch_location_id,branch_location,orders_count,insurance_payment,household_payment,lease_payment,loan_payment,disp_id,has_credit_card,transaction_count,withdraw_transactions,credit_transactions,credit_card_withdrawals,credit_in_cash,collections_from_other_banks,cash_withdrawals,remittance_to_other_banks,has_had_loan,max_loan_amount,max_loan_duration,loan_pay_success,loan_pay_failure,in_loan_debt,year_of_last_transaction,year_of_last_credit
1.0,0,18.0,29.0,F,Pisek,70699.0,4.0,65.3,8968.0,60.0,13.0,2.0,1.0,131.0,3650.0,3.09,True,1.0,4.0,monthly,18.0,Pisek,1.0,False,True,False,False,1.0,False,239.0,137.0,102.0,0.0,12.0,45.0,97.0,40.0,False,0.0,0.0,False,False,False,98.0,98.0
2.0,1,1.0,54.0,M,Hl.m. Praha,1204953.0,1.0,100.0,12541.0,0.0,0.0,0.0,1.0,167.0,184784.0,0.36,True,2.0,6.0,monthly,1.0,Hl.m. Praha,2.0,False,True,False,True,2.0,False,478.0,326.0,152.0,0.0,12.0,70.0,237.0,89.0,True,80952.0,24.0,True,False,False,98.0,98.0
3.0,1,1.0,59.0,F,Hl.m. Praha,1204953.0,1.0,100.0,12541.0,0.0,0.0,0.0,1.0,167.0,184784.0,0.36,False,2.0,6.0,monthly,1.0,Hl.m. Praha,2.0,False,True,False,True,3.0,False,478.0,326.0,152.0,0.0,12.0,70.0,237.0,89.0,True,80952.0,24.0,True,False,False,98.0,98.0
4.0,0,5.0,43.0,M,Kolin,95616.0,6.0,51.4,9307.0,65.0,30.0,4.0,1.0,118.0,5656.0,4.14,True,3.0,2.0,monthly,5.0,Kolin,3.0,True,True,False,False,4.0,False,117.0,71.0,46.0,0.0,28.0,0.0,32.0,39.0,False,0.0,0.0,False,False,False,98.0,98.0
5.0,0,5.0,39.0,F,Kolin,95616.0,6.0,51.4,9307.0,65.0,30.0,4.0,1.0,118.0,5656.0,4.14,False,3.0,2.0,monthly,5.0,Kolin,3.0,True,True,False,False,5.0,False,117.0,71.0,46.0,0.0,28.0,0.0,32.0,39.0,False,0.0,0.0,False,False,False,98.0,98.0
6.0,0,12.0,80.0,M,Pribram,107870.0,6.0,58.0,8754.0,84.0,29.0,6.0,1.0,137.0,7672.0,4.07,True,4.0,3.0,monthly,12.0,Pribram,2.0,False,True,False,False,6.0,False,186.0,121.0,65.0,0.0,1.0,34.0,62.0,59.0,False,0.0,0.0,False,False,False,98.0,98.0
7.0,0,15.0,70.0,M,Cesky Krumlov,58796.0,5.0,51.9,9045.0,22.0,16.0,7.0,1.0,124.0,3724.0,3.365,True,5.0,2.0,monthly,15.0,Cesky Krumlov,1.0,False,True,False,False,7.0,False,84.0,49.0,35.0,0.0,1.0,19.0,35.0,14.0,False,0.0,0.0,False,False,False,98.0,98.0
8.0,0,51.0,61.0,F,Trutnov,121947.0,11.0,70.5,8541.0,37.0,28.0,7.0,3.0,131.0,7335.0,2.74,True,6.0,5.0,monthly,51.0,Trutnov,1.0,False,True,False,False,8.0,False,246.0,147.0,99.0,0.0,1.0,51.0,100.0,47.0,False,0.0,0.0,False,False,False,98.0,98.0
9.0,0,60.0,64.0,M,Prostejov,110643.0,4.0,51.9,8441.0,49.0,41.0,4.0,1.0,115.0,4131.0,3.965,True,7.0,3.0,monthly,60.0,Prostejov,1.0,False,True,False,False,9.0,True,130.0,79.0,51.0,1.0,26.0,0.0,58.0,20.0,False,0.0,0.0,False,False,False,98.0,98.0
10.0,0,57.0,56.0,M,Hodonin,161954.0,8.0,48.0,8720.0,21.0,37.0,20.0,3.0,116.0,7380.0,4.115,True,8.0,4.0,monthly,57.0,Hodonin,2.0,False,True,False,False,10.0,False,254.0,170.0,84.0,0.0,45.0,0.0,101.0,69.0,False,0.0,0.0,False,False,False,98.0,98.0
11.0,1,57.0,49.0,F,Hodonin,161954.0,8.0,48.0,8720.0,21.0,37.0,20.0,3.0,116.0,7380.0,4.115,False,8.0,4.0,monthly,57.0,Hodonin,2.0,False,True,False,False,11.0,False,254.0,170.0,84.0,0.0,45.0,0.0,101.0,69.0,False,0.0,0.0,False,False,False,98.0,98.0
12.0,1,40.0,18.0,M,Teplice,128118.0,8.0,85.3,9317.0,9.0,16.0,6.0,3.0,97.0,13821.0,6.78,True,9.0,6.0,monthly,70.0,Karvina,0.0,False,False,False,False,12.0,False,361.0,178.0,183.0,0.0,112.0,0.0,178.0,0.0,False,0.0,0.0,False,False,False,98.0,98.0
13.0,0,54.0,25.0,F,Brno - mesto,387570.0,1.0,100.0,9897.0,0.0,0.0,0.0,1.0,140.0,37417.0,1.78,True,10.0,3.0,monthly,54.0,Brno - mesto,2.0,False,True,True,False,13.0,False,156.0,97.0,59.0,0.0,31.0,0.0,74.0,23.0,False,0.0,0.0,False,False,False,98.0,98.0
14.0,0,76.0,57.0,F,Sumperk,127369.0,7.0,51.2,8369.0,31.0,32.0,13.0,2.0,107.0,6543.0,5.305,True,11.0,4.0,monthly,76.0,Sumperk,1.0,False,True,False,False,14.0,False,186.0,107.0,79.0,0.0,1.0,39.0,72.0,35.0,False,0.0,0.0,False,False,False,98.0,98.0
