State,age,gender,district_of_residence,district_inhabitant_count,district_cities_count,district_urban_inhabitant_ratio,district_average_salary,district_mun_inhabitant_count_499,district_mun_inhabitant_count_1999,district_mun_inhabitant_count_9999,district_mun_inhabitant_count_infinite,district_enterprenuer_per_1000,district_crimes_count,district_unemployment_rate,owns_account,tenure,f_statement_issuance,branch_location,orders_count,insurance_payment,household_payment,lease_payment,loan_payment,has_credit_card,transaction_count,withdraw_transactions,credit_transactions,credit_card_withdrawals,credit_in_cash,collections_from_other_banks,cash_withdrawals,remittance_to_other_banks,has_had_loan,max_loan_amount,max_loan_duration,loan_pay_success,loan_pay_failure,in_loan_debt,year_of_last_transaction,year_of_last_credit
0,29.0,0,46,70699.0,4.0,65.3,8968.0,60.0,13.0,2.0,1.0,131.0,3650.0,3.09,1,4.0,1,46,1.0,0,1,0,0,0,239.0,137.0,102.0,0.0,12.0,45.0,97.0,40.0,0,0.0,0.0,0,0,0,98.0,98.0
1,54.0,1,17,1204953.0,1.0,100.0,12541.0,0.0,0.0,0.0,1.0,167.0,184784.0,0.36,1,6.0,1,17,2.0,0,1,0,1,0,478.0,326.0,152.0,0.0,12.0,70.0,237.0,89.0,1,80952.0,24.0,1,0,0,98.0,98.0
1,59.0,0,17,1204953.0,1.0,100.0,12541.0,0.0,0.0,0.0,1.0,167.0,184784.0,0.36,0,6.0,1,17,2.0,0,1,0,1,0,478.0,326.0,152.0,0.0,12.0,70.0,237.0,89.0,1,80952.0,24.0,1,0,0,98.0,98.0
0,43.0,1,29,95616.0,6.0,51.4,9307.0,65.0,30.0,4.0,1.0,118.0,5656.0,4.14,1,2.0,1,29,3.0,1,1,0,0,0,117.0,71.0,46.0,0.0,28.0,0.0,32.0,39.0,0,0.0,0.0,0,0,0,98.0,98.0
0,39.0,0,29,95616.0,6.0,51.4,9307.0,65.0,30.0,4.0,1.0,118.0,5656.0,4.14,0,2.0,1,29,3.0,1,1,0,0,0,117.0,71.0,46.0,0.0,28.0,0.0,32.0,39.0,0,0.0,0.0,0,0,0,98.0,98.0
0,80.0,1,54,107870.0,6.0,58.0,8754.0,84.0,29.0,6.0,1.0,137.0,7672.0,4.07,1,3.0,1,54,2.0,0,1,0,0,0,186.0,121.0,65.0,0.0,1.0,34.0,62.0,59.0,0,0.0,0.0,0,0,0,98.0,98.0
0,70.0,1,9,58796.0,5.0,51.9,9045.0,22.0,16.0,7.0,1.0,124.0,3724.0,3.365,1,2.0,1,9,1.0,0,1,0,0,0,84.0,49.0,35.0,0.0,1.0,19.0,35.0,14.0,0,0.0,0.0,0,0,0,98.0,98.0
0,61.0,0,68,121947.0,11.0,70.5,8541.0,37.0,28.0,7.0,3.0,131.0,7335.0,2.74,1,5.0,1,68,1.0,0,1,0,0,0,246.0,147.0,99.0,0.0,1.0,51.0,100.0,47.0,0,0.0,0.0,0,0,0,98.0,98.0
0,64.0,1,55,110643.0,4.0,51.9,8441.0,49.0,41.0,4.0,1.0,115.0,4131.0,3.965,1,3.0,1,55,1.0,0,1,0,0,1,130.0,79.0,51.0,1.0,26.0,0.0,58.0,20.0,0,0.0,0.0,0,0,0,98.0,98.0
0,56.0,1,18,161954.0,8.0,48.0,8720.0,21.0,37.0,20.0,3.0,116.0,7380.0,4.115,1,4.0,1,18,2.0,0,1,0,0,0,254.0,170.0,84.0,0.0,45.0,0.0,101.0,69.0,0,0.0,0.0,0,0,0,98.0,98.0
